participantId,participantShort,horizontal-bar-chart-1,horizontal-bar-chart-2,horizontal-bar-chart-3,horizontal-bar-chart-4,horizontal-bar-chart-5,horizontal-bar-chart-6,horizontal-bar-chart-7,pie-chart-1,pie-chart-2,pie-chart-3,pie-chart-4,pie-chart-5,pie-chart-6,pie-chart-7,vertical-bar-chart-1,vertical-bar-chart-2,vertical-bar-chart-3,vertical-bar-chart-4,vertical-bar-chart-5,vertical-bar-chart-6,vertical-bar-chart-7
CORRECT,CORRECT,20,26,65,38.0,39,76,89.0,11.0,12,32,47,55,85,90,22,25.0,67,45,58.0,78,88
17e53273-c351-420b-8f39-3d69c60a05d4,17e53273,30,30,10,16.0,23,7,3.0,80.0,20,25,65,30,55,49,35,20.0,11,15,12.0,8,3
cca1cf15-fb1c-4842-acc6-2c3494390bd4,cca1cf15,70,25,6,45.0,45,75,92.0,80.0,87,76,68,55,80,5,30,20.0,15,40,32.0,8,3
383872ce-15b8-447f-93d9-4bf574ae5e0e,383872ce,80,74,-53,62.0,62,-25,11.0,67.0,75,70,-133,33,-50,18,78,-300.0,33,55,74.0,22,12
dbfce7f5-ca59-4602-9024-34020b497706,dbfce7f5,30,30,10,15.0,20,8,4.0,90.0,80,75,70,35,55,55,35,20.0,10,15,15.0,8,5
f6aa1220-d2b1-4d1f-8116-e5b2d9595e5d,f6aa1220,40,30,10,20.0,20,10,5.0,95.0,95,75,66,"{'game_id': '2022_18_NYJ_MIA', 'team': 'B', 'score': 6, 'true_percentage': '55', 'bin': 'medium', 'rand': '0.018195396', 'chartType': 'Pie'}",65,45,50,18.0,8,17,16.0,10,5
2e496d46-c265-4fee-8e43-e88b8a17d058,2e496d46,29,27,65,39.0,38,76,89.0,17.0,18,75,33,33,90,54,22,25.0,67,45,58.0,75,92
05bee259-ef69-43a1-893d-6ee0c7ba06fb,05bee259,18,26,65,63.0,41,76,13.0,18.0,82,16,49,67,82,82,22,25.0,50,45,58.0,78,13
da526538-67b5-48d4-a910-647eb9d80c2b,da526538,17,25,62,41.0,43,76,92.0,90.0,11,25,33,65,82,55,22,25.0,69,44,56.0,72,92
0a77b4d8-896e-48c4-aeb6-8cfec64d794b,0a77b4d8,80,60,33,62.0,60,21,7.0,75.0,75,67,52,52,18,18,78,71.0,33,55,42.0,23,12
4e6f38aa-495f-421c-aa44-f1233da9d44b,4e6f38aa,20,28,65,38.46,41,76,89.0,9.1,11,27,33,33,10,5,22,0.25,7,45,58.0,75,88
8d0dfba5-fd23-4309-81e5-4e4d93966b40,8d0dfba5,30,28,10,17.0,21,6,4.0,40.0,40,27,35,30,8,5,35,18.0,8,17,16.0,7,3
7c285e04-e8b1-4f97-bbaa-e523f9d0add6,7c285e04,20,26,65,38.0,38,79,89.0,12.0,"{'game_id': '2021_07_CAR_NYG', 'team': 'B', 'score': 3, 'true_percentage': '12', 'bin': 'low', 'rand': '0.020984692', 'chartType': 'Pie'}",22,33,33,45,45,22,25.0,67,42,55.0,78,88
bcabc7c5-5e82-4673-9912-f77e261e250f,bcabc7c5,20,27,65,40.0,41,76,89.0,9.0,11,32,49,54,89,92,22,0.25,67,44,58.0,78,88
18565b57-51a9-4960-862f-8aca7261b041,18565b57,1,27,65,40.0,39,79,92.0,18.0,14,30,43,54,82,82,22,25.0,67,45,58.0,75,88
7fdc200c-e088-4db1-8f63-bc1e7ae63aa1,7fdc200c,20,25,66,36.0,40,70,8.0,11.0,11,32,53,43,69,70,22,25.0,67,47,56.0,78,88
a447d9eb-3640-470b-a188-a26d881a5a3f,a447d9eb,21,27,65,40.0,41,76,92.0,11.0,11,"{'game_id': '2023_15_DAL_BUF', 'team': 'A', 'score': 31, 'true_percentage': '32', 'bin': 'medium', 'rand': '0.012388643', 'chartType': 'Pie'}",39,49,89,92,22,25.0,67,45,58.0,78,88
2ecd38d1-3fec-4b31-978c-d66aae6ebe8e,2ecd38d1,25,25,60,67.0,30,75,0.8,10.0,0.1,25,33,50,50,100,20,20.0,60,50,0.6,75,80
053e5d96-e0ad-4dda-87fa-d6bd5dae1952,053e5d96,28,28,8,18.0,21,8,4.0,80.0,80,52,33,33,4,4,35,18.0,8,17,14.0,8,2
49875a33-f708-4975-87a7-17b75a484870,49875a33,82,75,35,60.0,66,20,5.0,83.0,78,50,35,33,7,5,78,80.0,33,60,33.0,12,10
8e226fc5-9d4b-4829-bb07-c34d2880583d,8e226fc5,26,30,60,40.0,40,70,12.0,10.0,20,33,33,60,67,48,25,25.0,70,40,60.0,78,90
0296ac25-1c7e-46bf-884c-8e984c49d9b4,0296ac25,60,45,15,20.0,25,10,5.0,60.0,70,75,30,40,5,7,100,100.0,20,60,55.0,15,4
